State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
IA,Dubuque Regional,DBQ,Dubuque,Dubuque,"38,248",N,,,,,,No,,,,,,,,,,,,,,
IA,Waterloo Regional,ALO,Waterloo,Black Hawk,"26,950",N,,,,,,No,,,,,,,,,,,,,,
IA,Sioux Gateway/Col Bud Day Field,SUX,Sioux City,Woodbury,"26,104",N,,,,,,No,,,,,,,,,,,,,,
IA,Southeast Iowa Regional,BRL,Burlington,Des Moines,"9,000",None,,,,,,No,,,,,,,,,,,,,,
IA,Mason City Municipal,MCW,Mason City,Cerro Gordo,"6,752",None,,,,,,No,,,,,,,,,,,,,,
IA,Fort Dodge Regional,FOD,Fort Dodge,Webster,"5,228",None,,,,,,No,,,,,,,,,,,,,,
ID,Boise Air Terminal/Gowen Field,BOI,Boise,Ada,"1,487,777",S,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
ID,Idaho Falls Regional,IDA,Idaho Falls,Bonneville,"147,923",N,,,,,,No,,,,,,,,,,,,,,
ID,Friedman Memorial,SUN,Hailey,Blaine,"67,955",N,,,,,,No,,,,,,,,,,,,,,
ID,Lewiston-Nez Perce County,LWS,Lewiston,Nez Perce,"66,579",N,,,,,,No,,,,,,,,,,,,,,
ID,Joslin Field - Magic Valley Regional,TWF,Twin Falls,Twin Falls,"33,806",N,,,,,,No,,,,,,,,,,,,,,
ID,Pocatello Regional,PIH,Arbon Valley,Power,"24,745",N,,,Moderate,,,Yes,,,,,,,,,,,,,,
IL,Chicago O'Hare International,ORD,Chicago,Cook,"36,305,668",L,Moderate,,,Maintenance,A,Yes,,,,,,,,,,,,,,
IL,Chicago Midway International,MDW,Chicago,Cook,"10,830,850",L,Moderate,,Maintenance,Maintenance,A,Yes,,,,,,,,,,,,,,
IL,Quad City International,MLI,Moline,Rock Island,"368,114",N,,,,,,No,,,,,,,,,,,,,,
IL,General Downing - Peoria International,PIA,Peoria,Peoria,"318,162",N,,,,,C,No,,,,,,,,,,,,,,
IL,Central IL Regional Airport at Bloomington-Normal,BMI,Bloomington-Normal Airport,McLean,"186,633",N,,,,,,No,,,,,,,,,,,,,,
